epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon,momentum
2100.0,0.930999994277954,0.2097302824258804,0.9265999794006348,0.0999883114942919,,,,0.8671457204528904
2200.0,0.9279999732971193,0.2128333151340484,0.9230999946594238,0.0999883114942919,,,,0.8671457204528904
2300.0,0.9304285645484924,0.2079028785228729,0.9240000247955322,0.0999883114942919,,,,0.8671457204528904
2400.0,0.9281428456306458,0.2141870409250259,0.9258000254631042,0.0999883114942919,,,,0.8671457204528904
2500.0,0.9304285645484924,0.2041065394878387,0.9233999848365784,0.0999883114942919,,,,0.8671457204528904
2600.0,0.930571436882019,0.2098948955535888,0.925000011920929,0.0999883114942919,,,,0.8671457204528904
2700.0,0.9282857179641724,0.2106596082448959,0.9258999824523926,0.0999883114942919,,,,0.8671457204528904
2800.0,0.9315714240074158,0.2077261209487915,0.9261000156402588,0.0999883114942919,,,,0.8671457204528904
2900.0,0.9292857050895692,0.2108973264694214,0.9258999824523926,0.0999883114942919,,,,0.8671457204528904
3000.0,0.9308571219444276,0.2100052833557129,0.925599992275238,0.0999883114942919,,,,0.8671457204528904
3100.0,0.9282857179641724,0.2132209688425064,0.9228000044822692,0.0999883114942919,,,,0.8671457204528904
3200.0,0.932285726070404,0.2130490392446518,0.9240000247955322,0.0999883114942919,,,,0.8671457204528904
3300.0,0.9308571219444276,0.2115666568279266,0.9272000193595886,0.0999883114942919,,,,0.8671457204528904
