epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon,momentum
2100.0,0.8065714240074158,0.6312905550003052,0.8055999875068665,0.0090731747682882,,,,0.9843349819133048
2200.0,0.8065714240074158,0.62916499376297,0.8093000054359436,0.0090731747682882,,,,0.9843349819133048
2300.0,0.8111428618431091,0.6224259734153748,0.8059999942779541,0.0090731747682882,,,,0.9843349819133048
2400.0,0.805571436882019,0.6248900890350342,0.8118000030517578,0.0090731747682882,,,,0.9843349819133048
2500.0,0.8064285516738892,0.6303892135620117,0.8029000163078308,0.0090731747682882,,,,0.9843349819133048
2600.0,0.8105714321136475,0.6307123899459839,0.8026999831199646,0.0090731747682882,,,,0.9843349819133048
2700.0,0.8101428747177124,0.6239874362945557,0.8129000067710876,0.0090731747682882,,,,0.9843349819133048
2800.0,0.8061428666114807,0.6267130374908447,0.8069000244140625,0.0090731747682882,,,,0.9843349819133048
2900.0,0.8100000023841858,0.6238471865653992,0.8040000200271606,0.0090731747682882,,,,0.9843349819133048
3000.0,0.8064285516738892,0.6176753640174866,0.8072999715805054,0.0090731747682882,,,,0.9843349819133048
3100.0,0.8119999766349792,0.6262362003326416,0.8072999715805054,0.0090731747682882,,,,0.9843349819133048
3200.0,0.8112857341766357,0.621937096118927,0.8087000250816345,0.0090731747682882,,,,0.9843349819133048
3300.0,0.8097142577171326,0.6270952224731445,0.8091999888420105,0.0090731747682882,,,,0.9843349819133048
