epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon
3100.0,0.9352856874465942,0.207421600818634,0.9276000261306764,0.0012769019343367,0.0735486046886975,0.781617047896626,
3200.0,0.933571457862854,0.2066646218299865,0.926900029182434,0.0012769019343367,0.0735486046886975,0.781617047896626,
3300.0,0.934428572654724,0.2037199735641479,0.927299976348877,0.0012769019343367,0.0735486046886975,0.781617047896626,
3400.0,0.9314285516738892,0.2043226212263107,0.9276000261306764,0.0012769019343367,0.0735486046886975,0.781617047896626,
3500.0,0.9347142577171326,0.205194890499115,0.929199993610382,0.0012769019343367,0.0735486046886975,0.781617047896626,
3600.0,0.9342857003211976,0.2045808434486389,0.925100028514862,0.0012769019343367,0.0735486046886975,0.781617047896626,
3700.0,0.9321428537368774,0.2072883993387222,0.9261999726295472,0.0012769019343367,0.0735486046886975,0.781617047896626,
3800.0,0.9321428537368774,0.2079450041055679,0.9248999953269958,0.0012769019343367,0.0735486046886975,0.781617047896626,
3900.0,0.9325714111328124,0.2087002247571945,0.9243000149726868,0.0012769019343367,0.0735486046886975,0.781617047896626,
4000.0,0.933571457862854,0.2039612531661987,0.9282000064849854,0.0012769019343367,0.0735486046886975,0.781617047896626,
4100.0,0.9348571300506592,0.2088676989078521,0.9253000020980836,0.0012769019343367,0.0735486046886975,0.781617047896626,
4200.0,0.935857117176056,0.2099204063415527,0.9275000095367432,0.0012769019343367,0.0735486046886975,0.781617047896626,
4300.0,0.9341428279876708,0.2072717994451522,0.9259999990463256,0.0012769019343367,0.0735486046886975,0.781617047896626,
4400.0,0.9337142705917358,0.2116932272911071,0.9272000193595886,0.0012769019343367,0.0735486046886975,0.781617047896626,
4500.0,0.9340000152587892,0.2112465500831604,0.9286999702453612,0.0012769019343367,0.0735486046886975,0.781617047896626,
4600.0,0.9334285855293274,0.2097984254360199,0.9277999997138976,0.0012769019343367,0.0735486046886975,0.781617047896626,
4700.0,0.9331428408622742,0.2076789885759353,0.9243000149726868,0.0012769019343367,0.0735486046886975,0.781617047896626,
4800.0,0.933571457862854,0.2088681161403656,0.926699995994568,0.0012769019343367,0.0735486046886975,0.781617047896626,
4900.0,0.934428572654724,0.2118117660284042,0.9254000186920166,0.0012769019343367,0.0735486046886975,0.781617047896626,
