epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon,momentum
1000.0,0.9347142577171326,0.2072009295225143,0.9265999794006348,,0.8762100653275976,0.7613194430532176,,
2000.0,0.9342857003211976,0.2085331529378891,0.9276000261306764,,0.8762100653275976,0.7613194430532176,,
3000.0,0.9364285469055176,0.2063304781913757,0.9280999898910522,,0.8762100653275976,0.7613194430532176,,
4000.0,0.9352856874465942,0.2090533077716827,0.9305999875068665,,0.8762100653275976,0.7613194430532176,,
5000.0,0.9372857213020324,0.2087447196245193,0.926800012588501,,0.8762100653275976,0.7613194430532176,,
6000.0,0.9348571300506592,0.2083619087934494,0.9301999807357788,,0.8762100653275976,0.7613194430532176,,
7000.0,0.9361428618431092,0.2045765519142151,0.9298999905586244,,0.8762100653275976,0.7613194430532176,,
8000.0,0.9354285597801208,0.2079713940620422,0.9296000003814696,,0.8762100653275976,0.7613194430532176,,
9000.0,0.9352856874465942,0.2093357741832733,0.930999994277954,,0.8762100653275976,0.7613194430532176,,
10000.0,0.934428572654724,0.209171786904335,0.9254999756813048,,0.8762100653275976,0.7613194430532176,,
11000.0,0.937857151031494,0.2072365581989288,0.9298999905586244,,0.8762100653275976,0.7613194430532176,,
12000.0,0.9334285855293274,0.205573171377182,0.9265999794006348,,0.8762100653275976,0.7613194430532176,,
13000.0,0.9367142915725708,0.2033198773860931,0.9286999702453612,,0.8762100653275976,0.7613194430532176,,
14000.0,0.9364285469055176,0.2071747630834579,0.92849999666214,,0.8762100653275976,0.7613194430532176,,
15000.0,0.9347142577171326,0.2083600312471389,0.9265000224113464,,0.8762100653275976,0.7613194430532176,,
16000.0,0.9348571300506592,0.2077268660068512,0.927299976348877,,0.8762100653275976,0.7613194430532176,,
17000.0,0.9345714449882508,0.2114567905664444,0.927299976348877,,0.8762100653275976,0.7613194430532176,,
18000.0,0.9352856874465942,0.2065359205007553,0.9296000003814696,,0.8762100653275976,0.7613194430532176,,
19000.0,0.935714304447174,0.2035097032785415,0.9294999837875366,,0.8762100653275976,0.7613194430532176,,
20000.0,0.9348571300506592,0.2077447175979614,0.930999994277954,,0.8762100653275976,0.7613194430532176,,
21000.0,0.9354285597801208,0.2070405483245849,0.9272000193595886,,0.8762100653275976,0.7613194430532176,,
22000.0,0.9359999895095824,0.2028334140777588,0.9296000003814696,,0.8762100653275976,0.7613194430532176,,
23000.0,0.9359999895095824,0.2069724947214126,0.9297999739646912,,0.8762100653275976,0.7613194430532176,,
24000.0,0.935857117176056,0.2067336142063141,0.9293000102043152,,0.8762100653275976,0.7613194430532176,,
25000.0,0.9350000023841858,0.2089333534240722,0.9283000230789183,,0.8762100653275976,0.7613194430532176,,
26000.0,0.9321428537368774,0.207964077591896,0.926800012588501,,0.8762100653275976,0.7613194430532176,,
27000.0,0.9345714449882508,0.2077906280755996,0.9323999881744384,,0.8762100653275976,0.7613194430532176,,
28000.0,0.9350000023841858,0.2079729735851287,0.9294999837875366,,0.8762100653275976,0.7613194430532176,,
29000.0,0.9354285597801208,0.2105432152748108,0.9282000064849854,,0.8762100653275976,0.7613194430532176,,
30000.0,0.9345714449882508,0.2052319496870041,0.9289000034332277,,0.8762100653275976,0.7613194430532176,,
