epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon
1000.0,0.818142831325531,0.6592068672180176,0.8151000142097473,0.0016343646073093,0.813444834775321,0.7102255853502537,
2000.0,0.8201428651809692,0.6639350652694702,0.8166000247001648,0.0016343646073093,0.813444834775321,0.7102255853502537,
3000.0,0.8175714015960693,0.6664891242980957,0.816100001335144,0.0016343646073093,0.813444834775321,0.7102255853502537,
4000.0,0.8208571672439575,0.6691132187843323,0.8194000124931335,0.0016343646073093,0.813444834775321,0.7102255853502537,
5000.0,0.8187142610549927,0.6591005325317383,0.8203999996185303,0.0016343646073093,0.813444834775321,0.7102255853502537,
6000.0,0.8205714225769043,0.6635838150978088,0.8172000050544739,0.0016343646073093,0.813444834775321,0.7102255853502537,
7000.0,0.8188571333885193,0.6620457768440247,0.8102999925613403,0.0016343646073093,0.813444834775321,0.7102255853502537,
8000.0,0.8204285502433777,0.6679913401603699,0.8138999938964844,0.0016343646073093,0.813444834775321,0.7102255853502537,
9000.0,0.8217142820358276,0.6636350154876709,0.8112999796867371,0.0016343646073093,0.813444834775321,0.7102255853502537,
10000.0,0.8147143125534058,0.6612988114356995,0.8166000247001648,0.0016343646073093,0.813444834775321,0.7102255853502537,
11000.0,0.823285698890686,0.6723477244377136,0.8190000057220459,0.0016343646073093,0.813444834775321,0.7102255853502537,
12000.0,0.8165714144706726,0.6576381921768188,0.8176000118255615,0.0016343646073093,0.813444834775321,0.7102255853502537,
13000.0,0.8168571591377258,0.6619079113006592,0.8176000118255615,0.0016343646073093,0.813444834775321,0.7102255853502537,
14000.0,0.8192856907844543,0.664587140083313,0.8141000270843506,0.0016343646073093,0.813444834775321,0.7102255853502537,
15000.0,0.8204285502433777,0.6741852760314941,0.8141000270843506,0.0016343646073093,0.813444834775321,0.7102255853502537,
16000.0,0.8201428651809692,0.6503317356109619,0.8148999810218811,0.0016343646073093,0.813444834775321,0.7102255853502537,
17000.0,0.8180000185966492,0.6653164625167847,0.8111000061035156,0.0016343646073093,0.813444834775321,0.7102255853502537,
18000.0,0.8182857036590576,0.657976508140564,0.8138999938964844,0.0016343646073093,0.813444834775321,0.7102255853502537,
19000.0,0.8151428699493408,0.6666332483291626,0.8134999871253967,0.0016343646073093,0.813444834775321,0.7102255853502537,
20000.0,0.8205714225769043,0.6643579006195068,0.8152999877929688,0.0016343646073093,0.813444834775321,0.7102255853502537,
21000.0,0.8218571543693542,0.6714624762535095,0.8188999891281128,0.0016343646073093,0.813444834775321,0.7102255853502537,
22000.0,0.8204285502433777,0.6578772068023682,0.8170999884605408,0.0016343646073093,0.813444834775321,0.7102255853502537,
23000.0,0.8184285759925842,0.6627439856529236,0.8126999735832214,0.0016343646073093,0.813444834775321,0.7102255853502537,
24000.0,0.818142831325531,0.6663517951965332,0.8184000253677368,0.0016343646073093,0.813444834775321,0.7102255853502537,
25000.0,0.8192856907844543,0.6652112603187561,0.8130999803543091,0.0016343646073093,0.813444834775321,0.7102255853502537,
26000.0,0.8168571591377258,0.6594651937484741,0.8138999938964844,0.0016343646073093,0.813444834775321,0.7102255853502537,
27000.0,0.8191428780555725,0.6479238271713257,0.8188999891281128,0.0016343646073093,0.813444834775321,0.7102255853502537,
28000.0,0.8190000057220459,0.6601704359054565,0.8154000043869019,0.0016343646073093,0.813444834775321,0.7102255853502537,
29000.0,0.8208571672439575,0.6690664291381836,0.8166999816894531,0.0016343646073093,0.813444834775321,0.7102255853502537,
30000.0,0.8242856860160828,0.6597010493278503,0.8156999945640564,0.0016343646073093,0.813444834775321,0.7102255853502537,
