epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon,rho
1000.0,0.9365714192390442,0.2071442753076553,0.9286999702453612,0.0009665770490416,,,,0.8577853587488521
2000.0,0.935714304447174,0.2127887606620788,0.92739999294281,0.0009665770490416,,,,0.8577853587488521
3000.0,0.935857117176056,0.2079850733280182,0.9297000169754028,0.0009665770490416,,,,0.8577853587488521
4000.0,0.9345714449882508,0.2067100554704666,0.926699995994568,0.0009665770490416,,,,0.8577853587488521
5000.0,0.935857117176056,0.208575427532196,0.9293000102043152,0.0009665770490416,,,,0.8577853587488521
6000.0,0.935857117176056,0.2103428393602371,0.9254000186920166,0.0009665770490416,,,,0.8577853587488521
7000.0,0.9361428618431092,0.2098302245140075,0.929199993610382,0.0009665770490416,,,,0.8577853587488521
8000.0,0.9362857341766356,0.2056470215320587,0.9297999739646912,0.0009665770490416,,,,0.8577853587488521
9000.0,0.935857117176056,0.2103552222251892,0.9287999868392944,0.0009665770490416,,,,0.8577853587488521
10000.0,0.9350000023841858,0.2113625705242157,0.92849999666214,0.0009665770490416,,,,0.8577853587488521
11000.0,0.9365714192390442,0.2115629315376281,0.9298999905586244,0.0009665770490416,,,,0.8577853587488521
12000.0,0.9361428618431092,0.2093240469694137,0.9271000027656556,0.0009665770490416,,,,0.8577853587488521
13000.0,0.935714304447174,0.2083582580089569,0.9286999702453612,0.0009665770490416,,,,0.8577853587488521
14000.0,0.9375714063644408,0.2087110430002212,0.9294000267982484,0.0009665770490416,,,,0.8577853587488521
15000.0,0.9362857341766356,0.2105533629655838,0.9294999837875366,0.0009665770490416,,,,0.8577853587488521
16000.0,0.9351428747177124,0.2066586911678314,0.9269999861717224,0.0009665770490416,,,,0.8577853587488521
17000.0,0.937857151031494,0.206736534833908,0.9240000247955322,0.0009665770490416,,,,0.8577853587488521
18000.0,0.9361428618431092,0.2041398882865905,0.9248999953269958,0.0009665770490416,,,,0.8577853587488521
19000.0,0.9351428747177124,0.2110143452882766,0.9294999837875366,0.0009665770490416,,,,0.8577853587488521
20000.0,0.935714304447174,0.2068485617637634,0.9276999831199646,0.0009665770490416,,,,0.8577853587488521
21000.0,0.9361428618431092,0.2072912901639938,0.92849999666214,0.0009665770490416,,,,0.8577853587488521
22000.0,0.9374285936355592,0.2071772962808609,0.930400013923645,0.0009665770490416,,,,0.8577853587488521
23000.0,0.9354285597801208,0.2110576331615448,0.9298999905586244,0.0009665770490416,,,,0.8577853587488521
24000.0,0.9364285469055176,0.2090350240468979,0.9275000095367432,0.0009665770490416,,,,0.8577853587488521
25000.0,0.9367142915725708,0.2056986838579177,0.9294000267982484,0.0009665770490416,,,,0.8577853587488521
26000.0,0.9369999766349792,0.2019141167402267,0.9275000095367432,0.0009665770490416,,,,0.8577853587488521
27000.0,0.9364285469055176,0.2066460847854614,0.9282000064849854,0.0009665770490416,,,,0.8577853587488521
28000.0,0.9348571300506592,0.2108847349882125,0.926699995994568,0.0009665770490416,,,,0.8577853587488521
29000.0,0.935714304447174,0.2073570191860199,0.925599992275238,0.0009665770490416,,,,0.8577853587488521
30000.0,0.9354285597801208,0.2103907316923141,0.9258000254631042,0.0009665770490416,,,,0.8577853587488521
