epochs,max_val_accuracy,min_val_loss,test_accuracy,learning_rate,beta_1,beta_2,epsilon,rho
1000.0,0.9368571639060974,0.2099964320659637,0.9300000071525574,0.001,,,,0.9
2000.0,0.9354285597801208,0.2094405740499496,0.9280999898910522,0.001,,,,0.9
3000.0,0.9365714192390442,0.2080711871385574,0.9289000034332277,0.001,,,,0.9
4000.0,0.9364285469055176,0.2081134021282196,0.929199993610382,0.001,,,,0.9
5000.0,0.9361428618431092,0.2086672186851501,0.9241999983787536,0.001,,,,0.9
6000.0,0.934428572654724,0.2084957063198089,0.9312999844551086,0.001,,,,0.9
7000.0,0.935857117176056,0.2054493129253387,0.930999994277954,0.001,,,,0.9
8000.0,0.9365714192390442,0.2148645371198654,0.9283000230789183,0.001,,,,0.9
9000.0,0.9367142915725708,0.2094373852014541,0.9276999831199646,0.001,,,,0.9
10000.0,0.9369999766349792,0.2098207175731659,0.9294000267982484,0.001,,,,0.9
11000.0,0.9367142915725708,0.2103325128555297,0.9315999746322632,0.001,,,,0.9
12000.0,0.9352856874465942,0.2080304473638534,0.9279999732971193,0.001,,,,0.9
13000.0,0.935857117176056,0.2059367001056671,0.930899977684021,0.001,,,,0.9
14000.0,0.9377142786979676,0.2066578865051269,0.9304999709129332,0.001,,,,0.9
15000.0,0.9351428747177124,0.2116173058748245,0.9314000010490416,0.001,,,,0.9
