   0	-5.854286e-01	-1.086714e-01	1.129518e-01
   1	-6.368572e-01	-1.322714e-01	1.210416e-01
   2	-5.162857e-01	-1.014429e-01	9.956630e-02
   3	-5.705714e-01	-1.144857e-01	1.078556e-01
   4	-6.394286e-01	-1.298714e-01	1.283298e-01
   5	-5.528572e-01	-1.194143e-01	1.004268e-01
   6	-5.542857e-01	-1.052429e-01	1.066253e-01
   7	-5.191429e-01	-1.319429e-01	1.076731e-01
   8	-6.914285e-01	-1.198857e-01	1.331141e-01
   9	-6.540000e-01	-1.313143e-01	1.204129e-01
  10	-6.340000e-01	-1.384714e-01	1.211728e-01
  11	-6.605715e-01	-1.528714e-01	1.687924e-01
  12	-6.637143e-01	-1.252571e-01	1.292021e-01
  13	-6.594286e-01	-1.687143e-01	1.930722e-01
  14	-6.588572e-01	-1.247143e-01	1.233440e-01
  15	-6.620000e-01	-1.184143e-01	1.268012e-01
  16	-6.614286e-01	-1.350429e-01	1.260595e-01
  17	-6.620000e-01	-1.491000e-01	1.724694e-01
  18	-6.620000e-01	-1.478857e-01	1.728631e-01
  19	-6.620000e-01	-1.248571e-01	1.240274e-01
  20	-6.637143e-01	-1.298143e-01	1.226900e-01
  21	-6.631429e-01	-1.405571e-01	1.428181e-01
  22	-6.637143e-01	-1.495714e-01	1.667288e-01
  23	-6.645714e-01	-1.252714e-01	1.263343e-01
  24	-6.611429e-01	-1.414571e-01	1.695679e-01
  25	-6.942857e-01	-1.481714e-01	1.783371e-01
  26	-6.968572e-01	-1.240857e-01	1.350961e-01
  27	-6.951429e-01	-1.250000e-01	1.325123e-01
  28	-6.945714e-01	-1.253429e-01	1.334011e-01
  29	-6.957143e-01	-1.547571e-01	1.451474e-01
  30	-6.945714e-01	-1.265000e-01	1.310801e-01
  31	-6.942857e-01	-1.168000e-01	1.349460e-01
  32	-6.945714e-01	-1.265000e-01	1.310801e-01
  33	-6.960000e-01	-1.265714e-01	1.313896e-01
  34	-6.945714e-01	-1.265000e-01	1.310801e-01
  35	-6.957143e-01	-1.308714e-01	1.312728e-01
  36	-6.940000e-01	-1.426000e-01	1.448314e-01
  37	-6.945714e-01	-2.298571e-01	2.370265e-01
  38	-6.960000e-01	-1.520429e-01	1.777756e-01
  39	-6.948571e-01	-1.620000e-01	1.765126e-01
  40	-7.622857e-01	-1.424286e-01	1.983975e-01
  41	-7.408571e-01	-2.179143e-01	2.445201e-01
  42	-7.574286e-01	-1.350143e-01	1.460807e-01
